id,u_id,date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Emotion
357,5,2019-07-02 00:00:00,38,22,42,26,33,74,96,38,25,42,0
358,10,2019-07-02 00:00:00,53,92,32,22,22,40,26,96,98,30,0
359,5,2019-07-02 00:00:00,88,74,32,15,28,65,56,3,17,33,5
360,2,2019-07-02 00:00:00,88,14,84,19,55,56,88,24,17,20,5
361,6,2019-07-02 00:00:00,26,60,92,98,20,79,6,59,24,76,1
362,3,2019-07-02 00:00:00,79,61,61,16,26,95,54,49,27,89,3
363,2,2019-07-02 00:00:00,23,65,67,88,9,25,22,68,88,8,5
364,4,2019-07-02 00:00:00,96,15,33,49,77,65,72,77,31,28,3
365,9,2019-07-02 00:00:00,91,10,2,80,59,68,13,94,17,22,4
366,3,2019-07-02 00:00:00,77,33,22,60,23,2,78,24,15,98,6
367,7,2019-07-02 00:00:00,11,85,24,4,67,89,43,33,56,72,5
368,2,2019-07-02 00:00:00,91,31,4,46,49,66,14,11,19,59,6
369,6,2019-07-02 00:00:00,28,3,53,52,33,9,7,67,80,66,3
370,6,2019-07-02 00:00:00,75,9,13,84,34,18,6,38,39,41,5
371,7,2019-07-02 00:00:00,20,89,87,95,78,36,45,87,87,22,4
372,6,2019-07-02 00:00:00,16,49,87,16,84,89,53,30,15,8,1
373,5,2019-07-02 00:00:00,22,2,79,67,23,13,4,39,33,57,2
374,7,2019-07-02 00:00:00,18,63,72,28,75,65,68,55,86,1,3
375,2,2019-07-02 00:00:00,36,5,64,78,8,67,23,23,64,29,2
376,2,2019-07-02 00:00:00,67,89,36,11,73,84,72,13,100,8,5
377,4,2019-07-02 00:00:00,67,32,51,8,25,92,93,94,62,97,6
378,5,2019-07-02 00:00:00,28,29,51,96,14,38,14,67,8,70,5
379,9,2019-07-02 00:00:00,12,27,49,34,11,30,5,41,95,56,3
380,6,2019-07-02 00:00:00,91,18,9,55,77,59,62,22,24,65,1
381,3,2019-07-02 00:00:00,91,98,61,60,55,29,74,17,1,29,1
382,1,2019-07-02 00:00:00,79,81,34,7,42,52,6,94,93,12,2
383,10,2019-07-02 00:00:00,31,23,16,91,98,17,89,43,26,79,4
384,2,2019-07-02 00:00:00,46,62,57,16,85,7,1,96,96,91,5
385,4,2019-07-02 00:00:00,13,73,33,85,53,88,11,56,15,27,3
386,5,2019-07-02 00:00:00,82,46,14,98,86,73,42,35,11,28,6
387,3,2019-07-02 00:00:00,83,61,43,47,61,27,69,54,64,15,3
388,10,2019-07-02 00:00:00,71,43,75,43,61,14,38,67,59,16,1
389,4,2019-07-02 00:00:00,52,25,47,59,58,30,95,49,78,16,2
390,10,2019-07-02 00:00:00,59,94,4,31,88,23,34,56,3,46,0
391,1,2019-07-02 00:00:00,80,80,85,69,86,73,24,15,83,67,4
392,2,2019-07-02 00:00:00,59,54,17,5,35,92,65,73,12,39,3
393,10,2019-07-02 00:00:00,83,79,83,16,32,87,25,63,23,41,3
394,3,2019-07-02 00:00:00,83,6,100,1,31,81,89,13,7,39,6
395,7,2019-07-02 00:00:00,25,85,14,89,46,58,91,10,15,32,5
396,6,2019-07-02 00:00:00,79,98,29,76,12,28,7,5,41,91,1
397,3,2019-07-02 00:00:00,96,83,39,82,57,36,89,89,27,9,2
398,10,2019-07-02 00:00:00,16,10,86,11,94,38,21,58,99,81,0
399,1,2019-07-02 00:00:00,3,18,73,6,16,83,24,78,34,71,3
400,3,2019-07-02 00:00:00,60,45,82,14,59,13,9,25,4,77,6
401,4,2019-07-02 00:00:00,6,98,22,23,64,54,79,11,93,27,0
402,5,2019-07-02 00:00:00,52,60,47,77,21,32,45,74,28,27,4
403,2,2019-07-02 00:00:00,26,32,18,77,9,81,56,3,100,77,2
404,1,2019-07-02 00:00:00,37,20,30,33,66,9,26,50,92,100,6
405,1,2019-07-02 00:00:00,45,93,63,19,25,85,83,74,31,49,3
406,4,2019-07-02 00:00:00,55,17,56,81,39,31,72,92,40,20,3
407,2,2019-07-02 00:00:00,56,53,67,52,96,12,79,57,89,70,5
408,10,2019-07-02 00:00:00,61,19,6,8,36,51,93,70,45,24,1
409,8,2019-07-02 00:00:00,52,28,45,15,18,39,53,79,20,2,1
410,8,2019-07-02 00:00:00,86,96,41,38,74,82,20,85,92,24,2
411,7,2019-07-02 00:00:00,81,36,21,77,27,55,83,26,40,52,2
412,5,2019-07-02 00:00:00,8,9,4,1,56,12,69,62,43,39,0
413,8,2019-07-02 00:00:00,71,29,16,59,57,90,89,26,66,72,1
414,9,2019-07-02 00:00:00,100,56,18,43,37,88,5,70,75,98,2
415,4,2019-07-02 00:00:00,59,86,43,25,43,22,72,7,21,32,5
416,10,2019-07-02 00:00:00,89,88,84,85,5,90,18,10,40,27,1
417,10,2019-07-02 00:00:00,98,34,16,23,5,83,18,37,32,27,1
418,10,2019-07-02 00:00:00,80,28,79,9,55,51,80,36,8,67,3
419,10,2019-07-02 00:00:00,9,78,36,14,46,98,42,23,10,47,0
420,7,2019-07-02 00:00:00,68,29,24,64,74,72,58,55,46,6,2
421,1,2019-07-02 00:00:00,59,59,89,85,90,23,9,56,13,61,6
422,2,2019-07-02 00:00:00,27,97,42,33,99,93,37,86,16,70,4
423,8,2019-07-02 00:00:00,49,63,33,59,78,84,30,67,75,54,2
424,10,2019-07-02 00:00:00,23,28,91,23,45,92,87,49,89,92,4
425,1,2019-07-02 00:00:00,81,85,39,27,64,35,84,92,28,81,4
426,4,2019-07-02 00:00:00,8,37,12,23,44,84,86,44,3,57,3
427,6,2019-07-02 00:00:00,27,7,87,37,46,29,100,84,90,61,1
428,7,2019-07-02 00:00:00,85,95,31,60,23,89,35,67,45,58,0
429,7,2019-07-02 00:00:00,9,9,24,45,8,56,27,85,6,59,2
430,6,2019-07-02 00:00:00,29,9,37,79,60,76,64,64,63,23,6
431,7,2019-07-02 00:00:00,42,4,27,81,87,98,10,7,13,26,5
432,5,2019-07-02 00:00:00,58,58,62,17,86,93,65,85,99,92,3
433,3,2019-07-02 00:00:00,20,85,15,99,65,92,33,25,80,19,0
434,6,2019-07-02 00:00:00,85,61,89,5,8,99,1,67,56,41,4
435,1,2019-07-02 00:00:00,70,41,75,38,71,25,85,34,58,11,6
436,10,2019-07-02 00:00:00,33,49,94,24,75,87,74,64,1,95,4
437,2,2019-07-02 00:00:00,43,79,79,56,100,40,3,83,23,21,2
438,10,2019-07-02 00:00:00,73,88,48,42,83,58,67,92,61,4,6
439,1,2019-07-02 00:00:00,100,85,77,100,24,15,64,94,2,74,3
440,1,2019-07-02 00:00:00,17,2,60,16,81,30,90,68,73,89,4
441,1,2019-07-02 00:00:00,35,68,65,32,58,46,50,52,90,44,1
442,2,2019-07-02 00:00:00,98,6,17,94,88,21,84,32,17,68,4
443,5,2019-07-02 00:00:00,24,74,79,91,87,68,16,47,23,94,5
444,1,2019-07-02 00:00:00,82,59,82,41,34,4,38,83,76,26,3
445,1,2019-07-02 00:00:00,92,63,90,39,26,15,60,90,91,62,4
446,7,2019-07-02 00:00:00,62,30,5,35,33,52,20,25,68,49,5
447,2,2019-07-02 00:00:00,49,23,30,57,97,71,19,12,4,55,2
448,1,2019-07-02 00:00:00,17,85,8,69,56,80,37,51,27,1,4
449,5,2019-07-02 00:00:00,49,66,94,86,22,54,81,16,51,40,1
450,7,2019-07-02 00:00:00,37,93,37,44,20,56,29,44,7,88,0
451,4,2019-07-02 00:00:00,62,69,82,87,1,39,78,57,46,83,3
452,3,2019-07-02 00:00:00,92,20,73,92,35,91,24,81,64,42,6
453,9,2019-07-02 00:00:00,26,1,100,8,32,43,26,14,76,74,0
454,4,2019-07-02 00:00:00,2,50,94,46,69,44,70,33,23,97,4
455,6,2019-07-02 00:00:00,41,98,70,55,29,70,36,18,76,73,0
456,1,2019-07-02 00:00:00,9,7,41,39,24,85,57,59,62,93,2
457,7,2019-07-02 00:00:00,45,28,15,7,24,14,73,40,66,21,3
458,6,2019-07-02 00:00:00,99,58,36,85,38,93,2,61,35,61,2
459,2,2019-07-02 00:00:00,100,19,35,78,90,47,33,67,39,68,2
460,8,2019-07-02 00:00:00,96,26,49,57,92,72,23,80,79,33,6
461,10,2019-07-02 00:00:00,55,45,27,31,97,63,79,74,100,39,3
462,1,2019-07-02 00:00:00,36,3,77,13,45,22,34,5,38,39,2
463,7,2019-07-02 00:00:00,25,3,57,100,11,30,97,46,64,84,6
464,9,2019-07-02 00:00:00,27,100,64,62,74,12,22,67,10,46,0
465,6,2019-07-02 00:00:00,4,36,4,8,36,97,21,32,27,51,3
466,6,2019-07-02 00:00:00,3,27,40,71,3,66,99,5,75,8,0
467,6,2019-07-02 00:00:00,82,26,83,75,79,17,86,94,50,1,4
468,7,2019-07-02 00:00:00,83,93,47,66,79,9,67,25,59,82,0
469,6,2019-07-02 00:00:00,47,46,58,45,59,2,68,86,86,31,1
470,10,2019-07-02 00:00:00,96,36,90,77,83,24,62,83,25,17,4
471,1,2019-07-02 00:00:00,95,11,19,40,65,42,31,52,44,3,2
472,1,2019-07-02 00:00:00,21,37,21,43,72,28,90,11,82,15,1
473,5,2019-07-02 00:00:00,85,32,52,42,13,91,15,35,71,16,3
474,5,2019-07-02 00:00:00,69,37,65,27,11,50,62,63,31,89,4
475,8,2019-07-02 00:00:00,25,79,9,94,76,82,30,4,11,18,3
476,4,2019-07-02 00:00:00,11,58,83,26,98,88,38,30,9,81,3
477,4,2019-07-02 00:00:00,9,73,72,96,72,91,61,75,25,30,0
478,10,2019-07-02 00:00:00,74,24,93,75,35,19,10,35,98,35,6
479,2,2019-07-02 00:00:00,47,3,38,72,26,12,20,96,42,30,2
480,4,2019-07-02 00:00:00,51,84,87,66,68,13,81,87,97,54,3
481,8,2019-07-02 00:00:00,43,88,46,21,16,25,7,15,42,77,5
482,9,2019-07-02 00:00:00,34,79,56,40,61,46,34,42,14,59,3
483,5,2019-07-02 00:00:00,1,55,81,78,35,37,68,35,35,62,4
484,8,2019-07-02 00:00:00,42,50,59,14,69,97,88,59,11,24,4
485,6,2019-07-02 00:00:00,35,91,25,87,14,79,76,1,77,41,4
486,6,2019-07-02 00:00:00,32,42,26,90,53,57,23,2,6,19,3
487,10,2019-07-02 00:00:00,37,37,93,47,90,60,87,15,6,4,3
488,10,2019-07-02 00:00:00,49,35,38,58,51,53,33,86,12,87,5
489,9,2019-07-02 00:00:00,65,45,86,75,40,42,80,25,84,97,2
490,8,2019-07-02 00:00:00,86,17,39,42,7,99,87,1,75,75,0
491,2,2019-07-02 00:00:00,7,40,19,84,57,54,94,24,94,40,4
492,10,2019-07-02 00:00:00,14,73,42,58,79,80,77,94,47,39,0
493,3,2019-07-02 00:00:00,38,62,66,52,60,93,35,60,77,20,1
494,3,2019-07-02 00:00:00,53,50,7,53,99,10,14,37,51,12,6
495,9,2019-07-02 00:00:00,65,27,46,71,59,18,35,6,78,55,0
496,5,2019-07-02 00:00:00,58,70,38,75,30,68,76,33,45,21,3
497,10,2019-07-02 00:00:00,40,38,78,2,12,7,55,61,8,6,1
498,5,2019-07-02 00:00:00,90,2,90,68,36,74,3,41,67,71,6
499,6,2019-07-02 00:00:00,77,15,2,56,73,56,8,71,30,80,2
500,5,2019-07-02 00:00:00,54,95,53,77,68,73,61,18,49,78,3
501,10,2019-07-02 00:00:00,17,17,76,86,67,23,6,71,46,12,3
502,1,2019-07-02 00:00:00,37,13,98,36,64,70,67,28,41,5,4
503,4,2019-07-02 00:00:00,80,84,42,67,83,12,29,36,88,31,2
504,2,2019-07-02 00:00:00,26,7,69,50,9,68,89,97,71,36,3
505,3,2019-07-02 00:00:00,84,59,7,92,91,39,39,33,20,53,0
506,10,2019-07-02 00:00:00,41,84,55,7,34,4,80,51,34,77,4
507,10,2019-07-02 00:00:00,51,6,65,7,72,5,53,63,19,46,6
508,5,2019-07-02 00:00:00,60,91,60,95,27,94,21,92,38,79,6
509,6,2019-07-02 00:00:00,34,4,44,91,29,16,71,77,69,89,2
510,3,2019-07-02 00:00:00,100,13,25,4,60,64,85,85,43,92,0
511,2,2019-07-02 00:00:00,27,76,59,51,96,9,59,91,93,39,5
512,8,2019-07-02 00:00:00,88,13,24,28,12,70,94,58,39,6,1
513,6,2019-07-02 00:00:00,29,57,62,12,6,94,7,25,11,87,1
514,8,2019-07-02 00:00:00,90,29,55,9,39,27,68,17,13,40,0
515,3,2019-07-02 00:00:00,2,70,32,47,96,53,63,39,14,16,1
516,2,2019-07-02 00:00:00,98,18,24,40,77,7,65,9,30,23,4
517,1,2019-07-02 00:00:00,27,53,40,66,74,19,55,38,84,18,3
518,10,2019-07-02 00:00:00,72,9,22,27,57,79,5,72,10,46,2
519,2,2019-07-02 00:00:00,93,35,26,29,47,64,62,91,58,82,6
520,10,2019-07-02 00:00:00,51,61,48,70,34,58,80,91,88,82,5
521,6,2019-07-02 00:00:00,21,98,70,2,73,84,29,37,85,51,5
522,1,2019-07-02 00:00:00,8,19,5,97,82,64,72,27,3,67,0
523,7,2019-07-02 00:00:00,14,96,74,29,32,53,3,44,12,30,4
524,10,2019-07-02 00:00:00,21,36,75,26,41,78,80,60,32,13,5
525,8,2019-07-02 00:00:00,94,32,98,75,96,68,61,47,41,87,3
526,3,2019-07-02 00:00:00,43,2,4,90,14,59,23,24,42,32,6
527,5,2019-07-02 00:00:00,54,46,51,61,21,52,40,78,53,77,2
528,6,2019-07-02 00:00:00,71,85,80,10,2,59,48,18,58,62,6
529,2,2019-07-02 00:00:00,76,100,27,46,36,12,5,78,1,13,1
530,9,2019-07-02 00:00:00,81,34,2,87,49,76,60,70,96,68,1
531,4,2019-07-02 00:00:00,99,23,39,42,53,13,12,75,49,57,0
532,6,2019-07-02 00:00:00,54,100,11,63,41,80,88,32,10,53,3
533,4,2019-07-02 00:00:00,87,44,32,6,30,31,64,58,48,85,6
534,1,2019-07-02 00:00:00,93,45,90,99,11,61,8,47,33,58,5
535,4,2019-07-02 00:00:00,84,68,86,35,25,72,81,64,80,44,6
536,6,2019-07-02 00:00:00,57,32,98,23,98,42,58,67,100,45,4
537,6,2019-07-02 00:00:00,89,59,53,100,13,61,58,30,41,52,5
538,10,2019-07-02 00:00:00,66,13,21,40,88,8,53,92,93,90,4
539,3,2019-07-02 00:00:00,62,97,54,73,8,21,13,78,99,43,6
540,8,2019-07-02 00:00:00,89,82,73,34,16,26,27,38,26,15,3
541,6,2019-07-02 00:00:00,3,50,15,14,31,81,98,85,93,9,1
542,4,2019-07-02 00:00:00,52,92,31,61,46,38,37,8,58,13,5
543,6,2019-07-02 00:00:00,16,26,63,79,5,68,92,5,99,8,0
544,2,2019-07-02 00:00:00,55,60,57,63,2,31,31,56,43,61,5
545,1,2019-07-02 00:00:00,85,46,88,7,73,87,6,36,42,96,2
546,2,2019-07-02 00:00:00,28,73,100,28,47,31,44,64,18,56,3
547,4,2019-07-02 00:00:00,49,87,65,100,42,34,7,63,17,26,2
548,10,2019-07-02 00:00:00,64,20,28,50,19,9,28,21,15,61,4
549,5,2019-07-02 00:00:00,35,73,50,27,37,28,3,8,43,88,3
550,4,2019-07-02 00:00:00,15,90,70,99,73,93,5,69,9,69,4
551,5,2019-07-02 00:00:00,86,50,45,51,8,33,13,14,94,98,6
552,1,2019-07-02 00:00:00,88,61,25,57,50,26,91,40,86,30,4
553,5,2019-07-02 00:00:00,62,84,35,53,72,13,98,78,42,100,0
554,6,2019-07-02 00:00:00,23,58,29,58,40,45,99,81,100,95,4
555,3,2019-07-02 00:00:00,28,51,57,27,94,93,36,35,48,37,6
556,5,2019-07-02 00:00:00,90,98,28,8,49,48,61,21,16,2,4
557,2,2019-07-02 00:00:00,73,18,60,13,47,51,84,82,60,82,5
558,3,2019-07-02 00:00:00,68,86,97,99,71,89,57,76,84,50,0
559,2,2019-07-02 00:00:00,59,98,61,93,100,88,65,62,55,67,1
560,9,2019-07-02 00:00:00,11,69,80,60,85,15,87,70,55,28,5
561,10,2019-07-02 00:00:00,39,82,46,75,32,64,52,25,58,50,3
562,5,2019-07-02 00:00:00,75,11,60,48,80,87,82,59,7,53,6
563,3,2019-07-02 00:00:00,49,40,37,52,82,71,55,19,20,42,0
564,8,2019-07-02 00:00:00,100,68,76,69,80,28,83,14,3,66,4
565,5,2019-07-02 00:00:00,29,28,85,5,82,98,40,62,12,78,0
566,4,2019-07-02 00:00:00,66,64,91,1,78,13,6,8,30,99,2
567,1,2019-07-02 00:00:00,53,95,7,36,44,86,4,82,28,7,6
568,8,2019-07-02 00:00:00,68,52,54,99,21,6,43,20,10,75,4
569,3,2019-07-02 00:00:00,89,63,91,95,15,27,83,75,24,16,4
570,8,2019-07-02 00:00:00,94,89,8,92,31,57,21,24,80,53,3
571,6,2019-07-02 00:00:00,19,72,48,6,23,100,27,11,73,18,4
572,6,2019-07-02 00:00:00,66,11,90,27,59,51,42,41,63,49,3
573,6,2019-07-02 00:00:00,8,65,61,8,8,16,41,8,49,96,1
574,4,2019-07-02 00:00:00,70,11,34,97,6,87,48,68,55,58,2
575,2,2019-07-02 00:00:00,94,63,2,92,20,64,73,88,93,16,5
576,2,2019-07-02 00:00:00,42,78,32,99,66,84,44,19,42,99,2
577,8,2019-07-02 00:00:00,21,61,98,24,77,59,19,84,53,15,0
578,4,2019-07-02 00:00:00,35,71,85,11,71,6,66,25,39,43,4
579,8,2019-07-02 00:00:00,86,11,98,86,100,53,17,57,16,81,5
580,10,2019-07-02 00:00:00,78,29,53,32,53,18,85,5,33,79,1
581,8,2019-07-02 00:00:00,33,27,11,23,6,64,67,27,58,29,5
582,5,2019-07-02 00:00:00,14,7,7,24,87,72,63,11,91,66,1
583,3,2019-07-02 00:00:00,8,54,14,78,13,74,22,69,86,60,5
584,9,2019-07-02 00:00:00,62,17,49,74,58,26,97,41,99,64,0
585,8,2019-07-02 00:00:00,45,81,1,53,89,100,56,76,88,44,0
586,3,2019-07-02 00:00:00,73,30,82,28,61,23,61,53,71,48,3
587,10,2019-07-02 00:00:00,90,69,21,84,86,1,49,2,60,67,4
588,8,2019-07-02 00:00:00,55,42,26,42,58,73,72,62,36,81,6
589,9,2019-07-02 00:00:00,63,40,44,86,1,46,3,33,68,31,6
590,9,2019-07-02 00:00:00,43,85,26,67,91,97,50,64,37,36,3
591,10,2019-07-02 00:00:00,12,42,15,9,45,13,24,36,76,37,2
592,7,2019-07-02 00:00:00,48,11,56,99,27,34,21,32,40,77,6
593,7,2019-07-02 00:00:00,61,11,79,62,32,100,59,49,14,79,4
594,9,2019-07-02 00:00:00,38,2,66,27,56,43,43,76,86,96,6
595,4,2019-07-02 00:00:00,72,74,41,34,90,20,37,35,100,44,4
596,8,2019-07-02 00:00:00,81,56,49,62,3,52,46,27,23,8,1
597,9,2019-07-02 00:00:00,92,21,99,72,51,88,84,72,66,48,6
598,2,2019-07-02 00:00:00,20,68,25,21,88,41,99,61,25,74,4
599,4,2019-07-02 00:00:00,56,23,97,100,96,5,80,40,39,23,1
600,7,2019-07-02 00:00:00,46,65,9,94,1,60,68,86,35,32,3
601,5,2019-07-03 00:00:00,32,10,37,99,98,73,77,42,53,13,1
602,9,2019-07-03 00:00:00,19,53,17,64,77,24,28,63,5,63,4
603,2,2019-07-03 00:00:00,18,26,53,58,58,99,47,25,98,5,5
604,9,2019-07-03 00:00:00,55,45,82,53,63,16,32,47,93,68,3
605,3,2019-07-03 00:00:00,16,22,53,9,35,41,92,5,52,94,1
606,2,2019-07-03 00:00:00,18,6,42,3,77,78,5,86,31,9,1
607,6,2019-07-03 00:00:00,8,4,16,38,95,28,91,79,36,73,0
608,9,2019-07-03 00:00:00,46,80,58,10,90,58,13,58,78,37,4
609,8,2019-07-03 00:00:00,31,56,66,35,80,43,3,6,58,53,3
610,6,2019-07-03 00:00:00,78,73,41,39,63,28,4,20,52,91,4
611,6,2019-07-03 00:00:00,15,24,61,11,24,87,56,92,98,44,2
612,9,2019-07-03 00:00:00,24,23,71,40,47,15,82,32,42,92,4
613,2,2019-07-03 00:00:00,15,7,72,44,34,75,100,10,14,52,3
614,8,2019-07-03 00:00:00,55,66,31,90,33,66,7,54,75,31,2
615,1,2019-07-03 00:00:00,50,67,61,83,13,83,35,11,1,76,5
616,6,2019-07-03 00:00:00,85,45,78,88,9,37,85,34,46,52,6
617,2,2019-07-03 00:00:00,9,34,66,78,51,32,30,94,83,33,5
618,7,2019-07-03 00:00:00,47,40,80,85,6,70,4,70,32,72,5
619,4,2019-07-03 00:00:00,42,85,100,76,88,27,67,73,83,13,0
620,9,2019-07-03 00:00:00,26,26,43,59,21,17,94,75,81,9,6
621,3,2019-07-03 00:00:00,25,3,46,51,84,81,87,44,23,63,3
622,5,2019-07-03 00:00:00,48,70,24,1,33,54,79,4,80,59,1
623,10,2019-07-03 00:00:00,92,25,23,18,66,79,94,13,17,47,0
624,3,2019-07-03 00:00:00,55,39,23,13,24,25,3,62,1,69,4
625,1,2019-07-03 00:00:00,44,7,11,66,79,12,93,92,97,88,1
626,1,2019-07-03 00:00:00,37,56,26,33,54,7,5,50,8,6,2
627,4,2019-07-03 00:00:00,28,78,24,67,48,69,72,40,94,41,1
628,4,2019-07-03 00:00:00,36,20,65,93,69,84,68,15,39,52,0
629,7,2019-07-03 00:00:00,88,3,14,4,15,27,27,64,36,25,3
630,2,2019-07-03 00:00:00,94,84,68,17,43,71,78,37,93,5,2
631,10,2019-07-03 00:00:00,69,9,79,43,77,50,42,67,54,71,0
632,9,2019-07-03 00:00:00,11,55,49,89,92,88,26,94,98,100,2
633,10,2019-07-03 00:00:00,64,57,3,76,68,3,74,90,6,45,2
634,9,2019-07-03 00:00:00,51,25,4,50,73,8,71,80,21,19,5
635,2,2019-07-03 00:00:00,14,6,28,9,99,78,41,59,91,51,0
636,6,2019-07-03 00:00:00,96,53,34,28,58,25,86,28,62,31,5
637,6,2019-07-03 00:00:00,73,12,83,53,85,30,22,41,28,3,2
638,6,2019-07-03 00:00:00,99,38,70,100,12,57,63,33,74,96,3
639,2,2019-07-03 00:00:00,18,90,25,43,42,17,53,84,73,94,3
640,8,2019-07-03 00:00:00,100,16,82,15,18,54,22,39,4,55,6
641,10,2019-07-03 00:00:00,6,84,58,26,72,71,74,91,62,70,6
642,8,2019-07-03 00:00:00,18,84,25,19,49,48,42,63,76,66,3
643,9,2019-07-03 00:00:00,70,21,70,88,9,21,15,33,17,78,0
644,5,2019-07-03 00:00:00,97,54,12,95,86,30,5,67,59,1,5
645,9,2019-07-03 00:00:00,48,35,9,26,15,4,72,79,78,72,3
646,1,2019-07-03 00:00:00,23,45,41,84,70,44,12,79,31,38,5
647,10,2019-07-03 00:00:00,81,14,19,83,77,59,27,24,94,97,5
648,6,2019-07-03 00:00:00,62,67,32,23,76,85,58,99,55,18,3
649,3,2019-07-03 00:00:00,85,9,79,44,31,68,57,39,52,82,2
650,6,2019-07-03 00:00:00,59,58,79,89,17,58,49,72,31,72,5
651,10,2019-07-03 00:00:00,48,42,74,63,27,3,100,95,24,7,0
652,2,2019-07-03 00:00:00,98,100,96,9,4,17,87,8,6,49,5
653,9,2019-07-03 00:00:00,8,12,64,34,65,95,18,31,56,32,1
654,9,2019-07-03 00:00:00,72,78,25,56,53,65,65,36,48,44,3
655,6,2019-07-03 00:00:00,77,52,5,21,37,65,34,35,59,45,5
656,1,2019-07-03 00:00:00,51,71,58,46,33,15,75,14,75,50,6
657,7,2019-07-03 00:00:00,22,30,13,39,55,12,26,9,90,93,3
658,3,2019-07-03 00:00:00,23,50,83,99,3,49,75,55,88,72,0
659,5,2019-07-03 00:00:00,31,33,65,91,10,25,66,82,72,13,0
660,5,2019-07-03 00:00:00,94,8,8,52,37,38,14,96,58,44,4
661,10,2019-07-03 00:00:00,6,67,28,81,4,80,56,8,16,75,6
662,9,2019-07-03 00:00:00,51,37,69,82,12,33,35,19,1,84,6
663,4,2019-07-03 00:00:00,99,12,84,19,92,35,63,46,72,3,0
664,8,2019-07-03 00:00:00,82,65,20,76,80,97,9,32,31,51,5
665,5,2019-07-03 00:00:00,58,64,28,57,41,43,99,53,29,3,5
666,1,2019-07-03 00:00:00,25,51,78,27,45,27,4,25,5,97,3
667,1,2019-07-03 00:00:00,58,36,85,61,32,2,10,38,71,67,3
668,9,2019-07-03 00:00:00,30,21,77,54,60,91,34,29,84,55,0
669,7,2019-07-03 00:00:00,50,13,22,69,97,27,21,5,12,16,5
670,9,2019-07-03 00:00:00,86,66,75,43,37,90,32,40,97,22,5
671,9,2019-07-03 00:00:00,83,73,11,81,25,9,21,56,37,14,4
672,6,2019-07-03 00:00:00,100,46,11,83,70,17,25,6,8,99,5
673,1,2019-07-03 00:00:00,85,35,63,18,63,53,57,52,54,86,2
674,3,2019-07-03 00:00:00,66,94,45,77,63,87,21,8,61,39,5
675,8,2019-07-03 00:00:00,60,89,22,24,56,35,60,27,84,70,2
676,4,2019-07-03 00:00:00,71,60,75,52,67,41,64,71,57,87,5
677,9,2019-07-03 00:00:00,77,35,7,6,44,91,20,94,40,19,0
678,2,2019-07-03 00:00:00,28,50,37,58,3,14,70,83,28,68,2
679,8,2019-07-03 00:00:00,64,81,6,23,100,23,90,28,7,72,4
680,9,2019-07-03 00:00:00,20,28,39,22,15,94,8,41,95,22,1
681,7,2019-07-03 00:00:00,23,29,8,39,60,48,81,18,95,57,5
682,9,2019-07-03 00:00:00,100,51,84,30,44,93,38,15,31,2,6
683,7,2019-07-03 00:00:00,1,9,55,35,29,80,69,79,47,9,2
684,8,2019-07-03 00:00:00,94,72,6,72,42,9,16,43,10,17,5
685,9,2019-07-03 00:00:00,34,86,27,11,21,49,61,56,71,41,0
686,9,2019-07-03 00:00:00,41,61,54,64,37,100,25,10,16,65,2
687,4,2019-07-03 00:00:00,22,36,12,51,35,46,10,79,58,63,5
688,10,2019-07-03 00:00:00,72,32,92,99,14,46,7,31,96,97,2
689,8,2019-07-03 00:00:00,18,22,34,74,58,79,36,82,4,98,0
690,3,2019-07-03 00:00:00,24,47,7,35,40,69,85,21,10,92,3
691,4,2019-07-03 00:00:00,68,95,48,23,43,7,98,71,16,91,3
692,4,2019-07-03 00:00:00,54,46,58,17,81,52,3,90,94,49,1
693,4,2019-07-03 00:00:00,32,72,71,51,45,32,52,36,93,35,4
694,1,2019-07-03 00:00:00,67,21,8,89,55,9,6,100,69,47,3
695,5,2019-07-03 00:00:00,68,39,74,2,73,58,11,1,27,85,3
696,7,2019-07-03 00:00:00,73,6,20,49,57,98,56,15,81,68,0
697,3,2019-07-03 00:00:00,13,25,99,65,47,65,25,39,16,24,2
698,10,2019-07-03 00:00:00,72,83,23,71,86,76,52,72,15,96,3
699,8,2019-07-03 00:00:00,63,98,14,62,70,24,7,58,57,78,4
700,6,2019-07-03 00:00:00,15,50,44,77,38,36,52,5,84,97,2
701,10,2019-07-03 00:00:00,68,82,58,51,100,1,29,13,54,71,0
702,5,2019-07-03 00:00:00,37,55,1,52,42,2,90,18,88,35,5
703,5,2019-07-03 00:00:00,27,100,24,93,73,81,10,61,17,66,6
704,9,2019-07-03 00:00:00,92,54,92,4,29,65,76,20,39,71,1
705,3,2019-07-03 00:00:00,35,42,47,5,16,64,88,26,73,47,1
706,2,2019-07-03 00:00:00,54,51,25,30,24,7,10,92,72,66,0
707,10,2019-07-03 00:00:00,54,3,93,60,24,100,51,79,86,94,3
708,7,2019-07-03 00:00:00,56,73,13,35,23,46,100,9,12,37,0
709,8,2019-07-03 00:00:00,61,6,74,20,47,14,14,54,37,90,0
710,3,2019-07-03 00:00:00,93,11,9,66,14,34,70,87,100,19,3
711,5,2019-07-03 00:00:00,79,31,8,89,81,63,100,64,90,9,0
712,5,2019-07-03 00:00:00,65,90,9,22,68,83,82,17,56,44,3
713,10,2019-07-03 00:00:00,68,66,65,40,36,56,87,4,36,91,0
